Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e30	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e859	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e874	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e891	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2750	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2767	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2773	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2780	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2796	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2815	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2834	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2853	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2897	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2912	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2936	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2953	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e2998	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e3022	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e3058	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e3112	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e3129	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e4515	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e8018	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ELN	Nørve, Elisabeth Røbekk	F	1951	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e8025	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e8032	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e10077	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e10104	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e10119	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2006-12-07-2	ParlaMint-NO_2006-12-07-2.ana.ud1908e10154	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2006-2007, Sitting day 2006-12-07	2006-12-07	Unicameralism	Term 2005-2009	Session 2006-2007	-	Sitting day 2006-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.ESF	Faldet, Eirin	F	1944	
