Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e18	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e679	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.BVS	Solhjell, Bård Vegar	M	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e689	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e696	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.BVS	Solhjell, Bård Vegar	M	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e703	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e708	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	Minister	SV	Sosialistisk Venstreparti	Coalition	Left	person.BVS	Solhjell, Bård Vegar	M	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e717	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.DTA	Andersen, Dag Terje	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e721	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.AREH	Helseth, Are	M	1955	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e745	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.EKS	Sund, Eirin	F	1967	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e773	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CT	Tybring-Gjedde, Christian	M	1963	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e803	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	notMP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KSP	Schjøtt-Pedersen, Karl Eirik	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e841	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e844	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PO	Olsen, Per Arne	M	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e851	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	notMP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KSP	Schjøtt-Pedersen, Karl Eirik	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e860	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e874	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	notMP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KSP	Schjøtt-Pedersen, Karl Eirik	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e881	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e893	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	notMP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KSP	Schjøtt-Pedersen, Karl Eirik	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e900	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e913	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	notMP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KSP	Schjøtt-Pedersen, Karl Eirik	M	1959	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e922	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e925	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAM	Marthinsen, Marianne	F	1980	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e951	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.RAA	Andresen, Rannveig Kvifte	F	1967	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e979	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e982	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.POL	Lundteigen, Per Olaf	M	1953	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e995	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TKK	Knutsen, Tove Karoline	F	1951	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1008	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JGD	Dale, Jon Georg	M	1984	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1023	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.HEIG	Greni, Heidi	F	1962	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1041	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.AC	Chaudhry, Akhtar	M	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1056	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.BERG	Bergsvåg, Arne	M	1958	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1074	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.GJH	Hagesæter, Gjermund	M	1960	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1085	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GOK	Kjernli, Gorm	M	1981	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1102	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TKK	Knutsen, Tove Karoline	F	1951	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1115	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.BAAL	Langsåvold, Bård	M	1952	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1132	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.GJB	Bekkevold, Geir Jørgen	M	1963	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1150	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.CSH	Hermansen, Camilla Storøy	F	1979	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1165	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAKO	Kolberg, Martin	M	1949	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1172	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1185	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.KJT	Toppe, Kjersti	F	1967	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1199	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TBRE	Bremer, Tor	M	1955	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1217	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.LHH	Holten, Line Henriette	F	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1228	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1233	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SME	Meling, Siri A.	F	1963	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1238	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1241	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SME	Meling, Siri A.	F	1963	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1262	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1279	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1290	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.AR	Rafiq, Afshan	F	1975	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1305	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.HPED	Pedersen, Helga	F	1973	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1315	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TMI	Micaelsen, Torgeir	M	1979	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1326	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1337	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1340	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.EAS	Aspaker, Elisabeth Vik	F	1962	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1347	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1362	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1365	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1376	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	Coalition	Left	person.ALYS	Lysbakken, Audun	M	1977	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1387	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.LAPB	Brekk, Lars Peder	M	1955	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1400	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1403	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.BENH	Høie, Bent	M	1971	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1411	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.KNAH	Hareide, Knut Arild	M	1972	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1422	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1435	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1438	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TMI	Micaelsen, Torgeir	M	1979	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1447	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.HPED	Pedersen, Helga	F	1973	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1456	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IME	Søreide, Ine Eriksen	F	1976	
