Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-115	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-117	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q6217745	Tysklind, Lars	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-120	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-123	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035702	Lindh, Eva	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-128	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-132	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30035702	Lindh, Eva	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-133	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-137	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-HMoetuJnXE7CV47xj8CJ94	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4953463	Knutsson, Helene Hellmark	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-GpBVurM3cLfAMzhyuLivqC	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-4nt63Kdzu8DSNLMCqgB9uR	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4953463	Knutsson, Helene Hellmark	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-151	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18451520	Redar, Lawen	F	-	
