Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-143	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4953633	Henriksson, Emma	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-144	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-146	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30000498	Engström, Patrik	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-149	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-152	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q30000498	Engström, Patrik	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-153	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-155	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4972634	Petersson, Jenny	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-158	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-161	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4972634	Petersson, Jenny	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-164	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-165	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202336	Bladelius, Yasmine	F	-	
